Date,Open,High,Low,Close,Adj Close,Volume
1/02/18,11.25,12.02,11.25,12.02,12.02,10455500
1/03/18,12.76,13.56,12.51,13.53,13.53,23127400
1/04/18,13.8,13.97,13.13,13.37,13.37,13856300
1/05/18,13.6,14.1,13.45,13.83,13.83,15985800
1/08/18,14,14.13,13.58,14.12,14.12,10456700
1/09/18,14.22,14.55,14.13,14.4,14.4,10719800
1/10/18,14.31,14.31,13.62,13.67,13.67,12157100
1/11/18,13.7,13.7,13.33,13.45,13.45,11397800
1/12/18,13.47,13.73,13.45,13.65,13.65,6310900
1/16/18,14.37,14.55,13.55,13.81,13.81,16808400
1/17/18,13.91,13.98,13.57,13.67,13.67,6013100
1/18/18,13.59,13.61,13.25,13.25,13.25,7371700
1/19/18,13.35,13.4,13.15,13.31,13.31,5073900
1/22/18,13.26,13.37,13.14,13.28,13.28,4450100
1/23/18,13.21,13.55,13.2,13.53,13.53,5436900
1/24/18,13.6,13.64,13.13,13.25,13.25,4412100
1/25/18,13.3,13.38,13.01,13.05,13.05,4384000
1/26/18,13.1,13.53,13.05,13.43,13.43,4544500
1/29/18,13.43,13.43,12.97,13,13,6722000
1/30/18,12.85,12.94,12.56,12.58,12.58,9359200
1/31/18,12.66,12.87,12.52,12.66,12.66,4796300
2/01/18,12.62,12.98,12.62,12.9,12.9,6212700
2/02/18,12.72,12.99,12.32,12.41,12.41,8448900
2/05/18,12.2,12.41,11.82,11.86,11.86,7869800
2/06/18,11.54,12.06,11.28,12,12,7600400
2/07/18,11.91,12.04,11.66,11.75,11.75,4394000
2/08/18,11.78,11.96,11.4,11.41,11.41,4987500
2/09/18,11.51,11.74,11.11,11.61,11.61,6270700
2/12/18,11.74,11.93,11.69,11.73,11.73,3913000
2/13/18,11.67,11.81,11.62,11.77,11.77,2227900
2/14/18,11.63,12.17,11.57,12.1,12.1,5068500
2/15/18,12.18,12.33,11.89,12.12,12.12,3709800
2/16/18,12.03,12.13,11.91,12.06,12.06,3374300
2/20/18,11.96,12.21,11.91,12.11,12.11,2512300
2/21/18,12.16,12.42,12.12,12.2,12.2,3699500
2/22/18,12.22,12.28,11.87,11.91,11.91,3347700
2/23/18,12,12.64,11.96,12.55,12.55,12075100
2/26/18,12.62,12.67,12.38,12.58,12.58,4227100
2/27/18,12.56,12.64,12.31,12.35,12.35,3582100
2/28/18,12.44,12.45,12.13,12.14,12.14,3067700
3/01/18,12.15,12.29,11.93,12.11,12.11,3975900
3/02/18,11.92,12.39,11.76,12.36,12.36,3909600
3/05/18,12.24,12.45,12.2,12.39,12.39,3350700
3/06/18,12.52,12.56,12.33,12.44,12.44,3549800
3/07/18,12.3,12.5,12.25,12.5,12.5,2918400
3/08/18,12.53,13.19,12.47,12.89,12.89,9666000
3/09/18,13.01,13.03,12.71,12.87,12.87,4633300
3/12/18,12.93,13.04,12.79,12.82,12.82,3219900
3/13/18,12.9,12.93,12.59,12.61,12.61,3248500
3/14/18,12.72,12.86,12.65,12.8,12.8,3193400
3/15/18,12.85,13.27,12.85,13.25,13.25,5907200
3/16/18,13.26,13.3,12.92,12.95,12.95,4856700
3/19/18,12.91,12.92,12.51,12.72,12.72,5099000
3/20/18,13.3,13.38,12.99,13.08,13.08,8732000
3/21/18,13.15,13.28,13.03,13.16,13.16,4859800
3/22/18,13.06,13.2,12.79,12.82,12.82,7395200
3/23/18,12.88,12.92,12.44,12.44,12.44,5244900
3/26/18,12.66,13.09,12.56,13.09,13.09,5479300
3/27/18,13.18,13.18,12.37,12.4,12.4,8945500
3/28/18,12.96,12.99,12.12,12.2,12.2,13223000
3/29/18,12.1,12.23,11.48,11.5,11.5,12367500
4/02/18,11.36,11.42,10.67,10.72,10.72,12376200
4/03/18,10.78,10.86,10.31,10.44,10.44,8092700
4/04/18,10.2,10.56,10.06,10.53,10.53,7275300
4/05/18,10.57,10.75,10.26,10.47,10.47,5768500
4/06/18,10.31,10.49,10.05,10.19,10.19,5470600
4/09/18,10.27,10.4,10.18,10.18,10.18,3948100
4/10/18,10.37,10.68,10.27,10.63,10.63,7305100
4/11/18,10.59,10.59,10.33,10.35,10.35,3647900
4/12/18,10.4,10.62,10.36,10.54,10.54,3478400
4/13/18,10.63,10.67,10.43,10.5,10.5,3735500
4/16/18,10.56,10.58,10.41,10.51,10.51,2451300
4/17/18,10.53,10.8,10.52,10.77,10.77,3519700
4/18/18,10.81,10.84,10.63,10.79,10.79,2681600
4/19/18,10.78,10.81,10.53,10.6,10.6,2656100
4/20/18,10.56,10.71,10.54,10.63,10.63,2857000
4/23/18,10.64,10.77,10.55,10.64,10.64,3068400
4/24/18,10.65,10.78,10.28,10.4,10.4,4408200
4/25/18,10.38,10.43,10.2,10.37,10.37,3441100
4/26/18,10.4,10.55,10.38,10.55,10.55,2334000
4/27/18,10.61,10.69,10.44,10.45,10.45,2149800
4/30/18,10.46,10.59,10.43,10.47,10.47,2655800
5/01/18,10.47,10.54,10.32,10.53,10.53,2112300
5/02/18,10.51,11.01,10.49,10.85,10.85,6254600
5/03/18,10.81,10.85,10.64,10.71,10.71,3371700
5/04/18,10.64,10.89,10.61,10.84,10.84,2476200
5/07/18,10.87,11.08,10.86,10.99,10.99,2627400
5/08/18,11,11.15,10.86,11.12,11.12,2821300
5/09/18,11.2,11.58,11.12,11.58,11.58,4903500
5/10/18,11.67,11.88,11.54,11.88,11.88,4274700
5/11/18,11.85,11.88,11.53,11.6,11.6,3899600
5/14/18,11.64,11.79,11.6,11.62,11.62,3202900
5/15/18,11.51,11.71,11.39,11.7,11.7,3133000
5/16/18,11.74,11.76,11.6,11.61,11.61,1860500
5/17/18,11.6,11.69,11.49,11.58,11.58,1870500
5/18/18,11.52,11.6,11.51,11.54,11.54,1785900
5/21/18,11.61,11.67,11.48,11.52,11.52,1225300
5/22/18,11.6,11.65,11.56,11.59,11.59,1655800
5/23/18,11.43,11.61,11.39,11.6,11.6,2263800
5/24/18,11.53,11.6,11.45,11.57,11.57,1543700
5/25/18,11.52,11.75,11.47,11.75,11.75,2418500
5/29/18,11.66,11.9,11.61,11.73,11.73,3180100
5/30/18,11.72,11.92,11.69,11.9,11.9,3009200
5/31/18,11.88,12.03,11.83,11.83,11.83,3998800
6/01/18,11.94,11.94,11.59,11.64,11.64,4041400
6/04/18,11.66,11.92,11.65,11.91,11.91,3897000
6/05/18,11.89,12.22,11.87,12.16,12.16,4193500
6/06/18,12.27,12.54,12.21,12.54,12.54,4545200
6/07/18,12.54,12.55,12.16,12.25,12.25,3593200
6/08/18,12.2,12.2,12.04,12.1,12.1,2609000
6/11/18,12.05,12.17,12.04,12.07,12.07,2690300
6/12/18,12.1,12.47,12.04,12.33,12.33,4246900
6/13/18,12.4,12.45,12.26,12.33,12.33,2223200
6/14/18,12.37,12.39,12.19,12.22,12.22,1725600
6/15/18,12.17,12.33,12.02,12.31,12.31,3681300
6/18/18,12.19,12.28,12.07,12.2,12.2,2169800
6/19/18,12.02,12.09,11.68,11.89,11.89,3278000
6/20/18,11.88,12.07,11.8,11.9,11.9,3417300
6/21/18,11.86,11.9,11.64,11.7,11.7,4294600
6/22/18,12.02,12.1,10.49,10.68,10.68,17887000
6/25/18,10.55,10.6,9.97,10.01,10.01,11728000
6/26/18,10.08,10.18,9.72,10.12,10.12,10170500
6/27/18,10.19,10.29,9.7,9.7,9.7,7780900
6/28/18,9.76,9.83,9.52,9.76,9.76,6499700
6/29/18,9.85,9.85,9.62,9.65,9.65,5423800
7/02/18,9.58,10.04,9.51,9.96,9.96,4318500
7/03/18,9.97,10.08,9.9,10,10,3160700
7/05/18,10.09,10.09,9.78,9.8,9.8,5091100
7/06/18,9.82,9.96,9.8,9.92,9.92,2726900
7/09/18,9.97,10.07,9.86,10.04,10.04,3092800
7/10/18,10.02,10.16,9.95,10.08,10.08,2630900
7/11/18,9.96,10.02,9.86,9.88,9.88,2552100
7/12/18,9.91,10.13,9.91,10.09,10.09,2979800
7/13/18,10.1,10.22,10.08,10.2,10.2,2668700
7/16/18,10.2,10.23,10.09,10.1,10.1,1791800
7/17/18,10.01,10.15,9.91,10.11,10.11,2891300
7/18/18,10.15,10.15,10,10.01,10.01,2194800
7/19/18,9.93,10.47,9.88,10.33,10.33,14437000
7/20/18,10.63,10.63,10.27,10.28,10.28,7450300
7/23/18,10.38,10.44,10.05,10.39,10.39,5465100
7/24/18,10.43,10.5,10.2,10.23,10.23,3729400
7/25/18,10.3,10.35,10.06,10.32,10.32,3366200
7/26/18,10.26,10.35,10.14,10.26,10.26,3542100
7/27/18,10.3,10.3,9.96,9.99,9.99,4301300
7/30/18,10.03,10.05,9.6,9.7,9.7,6168100
7/31/18,9.72,9.89,9.46,9.81,9.81,5038000
8/01/18,9.8,9.88,9.67,9.74,9.74,2643000
8/02/18,9.65,10.04,9.64,10.01,10.01,3809000
8/03/18,10.03,10.08,9.83,10.07,10.07,3763700
8/06/18,10.1,10.22,10.05,10.19,10.19,2417900
8/07/18,10.18,10.29,9.78,9.85,9.85,6670200
8/08/18,9.87,10.35,9.86,10.32,10.32,5291100
8/09/18,10.33,10.52,10.3,10.46,10.46,3898400
8/10/18,10.36,10.38,10.2,10.3,10.3,3725400
8/13/18,10.32,10.47,10.26,10.29,10.29,2974000
8/14/18,10.39,10.4,10.16,10.22,10.22,1879600
8/15/18,10.1,10.19,9.9,9.95,9.95,3612900
8/16/18,10,10.16,9.98,10.08,10.08,2018500
8/17/18,10.12,10.12,9.88,10.07,10.07,2554800
8/20/18,10.07,10.17,10.04,10.14,10.14,2599800
8/21/18,10.15,10.29,10.07,10.12,10.12,2317300
8/22/18,10.09,10.25,10.06,10.17,10.17,2676700
8/23/18,10.13,10.44,10.1,10.26,10.26,4653600
8/24/18,10.39,10.65,10.3,10.6,10.6,5285000
8/27/18,10.75,10.81,10.6,10.78,10.78,6418500
8/28/18,10.86,11,10.75,10.94,10.94,4236500
8/29/18,10.97,11.04,10.73,10.82,10.82,4151000
8/30/18,10.75,10.78,10.56,10.6,10.6,2673700
8/31/18,10.54,10.7,10.52,10.67,10.67,2870300
9/04/18,10.55,10.65,10.43,10.64,10.64,2750300
9/05/18,10.61,10.63,9.96,9.97,9.97,5702300
9/06/18,10,10.1,9.78,9.85,9.85,4271700
9/07/18,9.81,10.1,9.67,10.02,10.02,2966400
9/10/18,10.1,10.12,9.91,9.97,9.97,3339600
9/11/18,9.91,10.3,9.9,10.3,10.3,2679000
9/12/18,10.3,10.36,10.12,10.28,10.28,2543800
9/13/18,10.34,10.45,10.23,10.26,10.26,2316800
9/14/18,10.28,10.39,10.21,10.3,10.3,2520100
9/17/18,10.16,10.35,10.08,10.11,10.11,2787600
9/18/18,10.13,10.31,10.12,10.26,10.26,2324900
9/19/18,10.24,10.29,10.13,10.21,10.21,2068300
9/20/18,10.23,10.38,10.17,10.34,10.34,4302300
9/21/18,10.34,10.44,10.29,10.41,10.41,3544500
9/24/18,10.4,10.5,10.27,10.42,10.42,2893700
9/25/18,10.41,10.61,10.4,10.4,10.4,2547500
9/26/18,10.35,10.44,10.25,10.32,10.32,2410300
9/27/18,10.35,10.35,10.14,10.19,10.19,4319200
9/28/18,10.43,12,10.43,11.38,11.38,31223700
10/01/18,11.47,11.75,10.81,10.83,10.83,10993300
10/02/18,10.82,10.94,10.35,10.36,10.36,7071800
10/03/18,10.38,10.63,10.17,10.56,10.56,5580800
10/04/18,10.5,10.51,10.22,10.26,10.26,4392000
10/05/18,10.21,10.33,9.88,10.02,10.02,6416200
10/08/18,9.93,10.15,9.84,9.94,9.94,4739600
10/09/18,9.89,10.01,9.7,9.76,9.76,4765000
10/10/18,9.69,9.7,9.25,9.25,9.25,7860400
