Date,Open,High,Low,Close,Adj Close,Volume
1/02/18,14.12,15.03,14.1,15.02,15.02,2803300
1/03/18,16.1,16.98,15.68,16.950001,16.950001,6239300
1/04/18,17.389999,17.49,16.450001,16.68,16.68,4617600
1/05/18,16.85,17.450001,16.66,17.17,17.17,4218900
1/08/18,17.450001,17.549999,16.889999,17.51,17.51,3288900
1/09/18,17.66,18.139999,17.57,17.940001,17.940001,3742500
1/10/18,17.84,17.870001,17.09,17.17,17.17,4504500
1/11/18,17.16,17.190001,16.709999,16.83,16.83,2909000
1/12/18,16.83,17.16,16.82,17,17,2020200
1/15/18,17.75,17.75,17.25,17.48,17.48,2057500
1/16/18,18,18.07,16.870001,17.18,17.18,6180100
1/17/18,17.299999,17.35,16.93,17,17,3020400
1/18/18,16.969999,16.969999,16.459999,16.51,16.51,2871000
1/19/18,16.57,16.690001,16.35,16.629999,16.629999,2669400
1/22/18,16.57,16.639999,16.379999,16.549999,16.549999,1798900
1/23/18,16.5,16.870001,16.469999,16.82,16.82,2409000
1/24/18,16.85,16.85,16.219999,16.360001,16.360001,2844500
1/25/18,16.360001,16.469999,16.1,16.16,16.16,1957800
1/26/18,16.209999,16.66,16.129999,16.549999,16.549999,2155100
1/29/18,16.52,16.549999,16.01,16.030001,16.030001,2159800
1/30/18,15.9,15.95,15.5,15.5,15.5,3265800
1/31/18,15.6,15.82,15.41,15.6,15.6,2568600
2/01/18,15.52,15.93,15.52,15.82,15.82,2755700
2/02/18,15.75,16.07,15.28,15.44,15.44,2854700
2/05/18,15.17,15.46,14.78,14.9,14.9,3626100
2/06/18,14.5,15.09,14.17,15.02,15.02,3310100
2/07/18,14.95,15.07,14.66,14.78,14.78,1903600
2/08/18,14.79,15.02,14.38,14.41,14.41,3663100
2/09/18,14.51,14.77,14.03,14.62,14.62,3278000
2/12/18,14.77,15.01,14.74,14.82,14.82,2694900
2/13/18,14.73,14.88,14.65,14.84,14.84,1568300
2/14/18,14.71,15.24,14.6,15.12,15.12,2384300
2/15/18,15.24,15.4,14.89,15.12,15.12,1931600
2/16/18,15.08,15.2,14.95,15.16,15.16,1935600
2/20/18,15.08,15.42,15.03,15.31,15.31,1224800
2/21/18,15.33,15.69,15.33,15.49,15.49,2674800
2/22/18,15.58,15.6,15.1,15.13,15.13,1883000
2/23/18,15.22,16,15.17,15.91,15.91,2530100
2/26/18,16.030001,16.08,15.7,15.93,15.93,1540600
2/27/18,15.9,16.08,15.7,15.79,15.79,1483400
2/28/18,15.87,15.92,15.57,15.57,15.57,2186400
3/01/18,15.61,15.78,15.37,15.54,15.54,2000000
3/02/18,15.36,15.96,15.15,15.94,15.94,2593200
3/05/18,15.85,16.15,15.84,16.08,16.08,1406300
3/06/18,16.16,16.209999,15.96,16.030001,16.030001,1487900
3/07/18,15.93,16.129999,15.86,16.129999,16.129999,1002900
3/08/18,16.16,17.040001,16.08,16.629999,16.629999,4409200
3/09/18,16.74,16.74,16.35,16.49,16.49,1392900
3/12/18,16.57,16.709999,16.4,16.459999,16.459999,1222000
3/13/18,16.530001,16.620001,16.35,16.370001,16.370001,1516300
3/14/18,16.459999,16.639999,16.370001,16.58,16.58,1429000
3/15/18,16.690001,17.309999,16.68,17.27,17.27,2724600
3/16/18,17.32,17.41,16.92,16.98,16.98,5010600
3/19/18,16.93,16.93,16.379999,16.620001,16.620001,2499000
3/20/18,17.35,17.48,16.99,17.120001,17.120001,3573300
3/21/18,17.110001,17.209999,16.91,16.959999,16.959999,1964200
3/22/18,16.889999,17.030001,16.540001,16.57,16.57,2321200
3/23/18,16.559999,16.59,16.02,16.02,16.02,2053100
3/26/18,16.33,16.84,16.209999,16.84,16.84,2432700
3/27/18,16.950001,16.950001,15.95,15.98,15.98,3120500
3/28/18,16.77,16.780001,15.67,15.76,15.76,4887600
3/29/18,15.73,15.79,14.79,14.81,14.81,4412400
4/02/18,14.68,14.7,13.8,13.8,13.8,3889500
4/03/18,13.9,13.94,13.21,13.35,13.35,4655800
4/04/18,13.13,13.49,12.91,13.44,13.44,3389400
4/05/18,13.52,13.77,13.11,13.36,13.36,2560000
4/06/18,13.19,13.35,12.85,13.01,13.01,2825000
4/09/18,13.13,13.22,12.94,12.97,12.97,1375300
4/10/18,13.14,13.47,12.99,13.44,13.44,2111300
4/11/18,13.38,13.38,12.98,13,13,1869800
4/12/18,13.11,13.35,13.08,13.29,13.29,1105700
4/13/18,13.39,13.43,13.15,13.23,13.23,1275000
4/16/18,13.3,13.3,13.1,13.22,13.22,713300
4/17/18,13.26,13.55,13.22,13.53,13.53,1691900
4/18/18,13.56,13.68,13.4,13.62,13.62,1130600
4/19/18,13.59,13.62,13.32,13.44,13.44,1209700
4/20/18,13.42,13.64,13.4,13.54,13.54,1039600
4/23/18,13.57,13.83,13.54,13.64,13.64,1195800
4/24/18,13.71,13.82,13.2,13.33,13.33,1648300
4/25/18,13.32,13.42,13.15,13.3,13.3,1295100
4/26/18,13.39,13.59,13.34,13.59,13.59,1067400
4/27/18,13.66,13.75,13.44,13.49,13.49,479100
4/30/18,13.49,13.59,13.37,13.44,13.44,1159600
5/01/18,13.43,13.56,13.32,13.54,13.54,1030000
5/02/18,13.47,14.12,13.47,14,14,1860400
5/03/18,13.95,13.95,13.72,13.78,13.78,2032900
5/04/18,13.71,13.99,13.71,13.93,13.93,910000
5/07/18,13.98,14.24,13.96,14.18,14.18,1306800
5/08/18,14.2,14.43,14.09,14.42,14.42,1302600
5/09/18,14.42,14.89,14.34,14.89,14.89,1587600
5/10/18,14.95,15.16,14.76,15.16,15.16,1703600
5/11/18,15.14,15.2,14.74,14.83,14.83,1599600
5/14/18,14.91,15.06,14.83,14.87,14.87,1081800
5/15/18,14.83,15.06,14.7,15.01,15.01,1912300
5/16/18,15.03,15.09,14.84,14.84,14.84,826000
5/17/18,14.83,14.96,14.73,14.81,14.81,1318600
5/18/18,14.83,14.94,14.82,14.84,14.84,858600
5/22/18,14.77,14.9,14.77,14.85,14.85,1053100
5/23/18,14.74,14.9,14.67,14.87,14.87,954300
5/24/18,14.89,14.98,14.77,14.9,14.9,971400
5/25/18,14.89,15.24,14.89,15.21,15.21,1108300
5/28/18,15.24,15.34,15.15,15.19,15.19,543100
5/29/18,15.13,15.48,15.13,15.27,15.27,1583100
5/30/18,15.3,15.34,15.13,15.34,15.34,1338500
5/31/18,15.43,15.58,15.34,15.35,15.35,1750500
6/01/18,15.44,15.47,15.03,15.07,15.07,1364900
6/04/18,15.06,15.41,15.06,15.39,15.39,1206500
6/05/18,15.4,15.92,15.4,15.78,15.78,1829900
6/06/18,15.79,16.24,15.72,16.24,16.24,1488500
6/07/18,16.25,16.27,15.81,15.92,15.92,1613400
6/08/18,15.83,15.83,15.62,15.66,15.66,807200
6/11/18,15.61,15.81,15.61,15.66,15.66,968100
6/12/18,15.7,16.200001,15.66,16.049999,16.049999,1893900
6/13/18,16.08,16.15,15.98,16,16,1169100
6/14/18,16.040001,16.120001,15.97,16,16,834100
6/15/18,15.97,16.27,15.81,16.190001,16.190001,5026200
6/18/18,16.059999,16.219999,15.92,16.1,16.1,1014100
6/19/18,15.97,16.049999,15.53,15.79,15.79,1476200
6/20/18,15.79,16.030001,15.68,15.85,15.85,1275200
6/21/18,15.8,15.85,15.52,15.61,15.61,1718400
