Date,Open,High,Low,Close,Adj Close,Volume
10/01/13,83.559998,84.300003,83.080002,83.760002,70.282654,3866000
10/02/13,83.519997,84.25,83.330002,84.07,70.542793,3324900
10/03/13,83.889999,84.269997,83.419998,83.970001,70.458885,4223500
10/04/13,83.970001,84.349998,83.540001,84.199997,70.651871,3212000
10/07/13,83.459999,84.160004,83.300003,83.529999,70.089676,3364300
10/08/13,83.540001,83.889999,82.629997,82.849998,69.519066,5671300
10/09/13,83.050003,83.889999,82.449997,83.519997,70.081276,4577500
10/10/13,84.440002,84.949997,84.07,84.730003,71.096596,4317100
10/11/13,84.639999,85.849998,84.349998,85.610001,71.835007,4110300
10/14/13,85.059998,86.419998,84.860001,86.239998,72.363617,4689600
10/15/13,86.239998,86.75,85.690002,85.75,71.952461,4896500
10/16/13,86.059998,86.489998,85.599998,86.269997,72.388809,3549500
10/17/13,85.330002,85.989998,84.949997,85.849998,72.540886,3850700
10/18/13,86.309998,87.760002,86.269997,87.339996,73.799904,6752700
10/21/13,87.720001,87.800003,87.190002,87.699997,74.104095,3883500
10/22/13,87.879997,89.169998,87.540001,89.169998,75.346191,9152900
10/23/13,84.150002,84.650002,83.050003,83.760002,70.774895,20968800
10/24/13,83.32,85,83.129997,84.529999,71.425522,8368700
10/25/13,84.32,84.779999,83.610001,84.769997,71.628311,4886400
10/28/13,84.5,84.730003,84.150002,84.279999,71.214279,3979200
10/29/13,83.910004,84.099998,83.290001,84.07,71.03685,5324100
10/30/13,84.169998,84.349998,83.209999,83.489998,70.546753,4657000
10/31/13,83.440002,84.269997,83.360001,83.360001,70.436913,4651300
11/01/13,83.779999,83.800003,82.800003,83.589996,70.631264,5880200
11/04/13,83.809998,83.989998,83.449997,83.889999,70.884735,3892500
11/05/13,83.610001,84.190002,83.360001,84.050003,71.019943,4010900
11/06/13,84.300003,84.360001,83.849998,84.220001,71.163597,3664100
11/07/13,83.949997,84.43,83.5,83.650002,70.681946,5431600
11/08/13,83.519997,84.32,83.5,84.239998,71.180489,4557300
11/11/13,84.190002,84.470001,83.82,84.150002,71.104431,2522500
11/12/13,83.980003,84.279999,83.540001,83.849998,70.850967,3483000
11/13/13,83.459999,84.25,83,84.199997,71.14669,3952800
11/14/13,84,84.199997,83.559998,83.760002,70.774895,4496300
11/15/13,84,84.110001,83.5,83.739998,70.757996,4743900
11/18/13,84.050003,84.970001,83.739998,84.040001,71.01149,4803100
11/19/13,84.110001,84.5,83.480003,83.669998,70.698845,5010300
11/20/13,83.18,83.709999,82.459999,82.68,69.862343,7443000
11/21/13,83.050003,83.089996,81.870003,82.120003,69.389153,6208500
11/22/13,82.220001,82.949997,82,82.879997,70.031319,4403800
11/25/13,84.400002,84.940002,83.870003,84.400002,71.315674,8111400
11/26/13,84.800003,84.830002,84.010002,84.360001,71.281868,3834900
11/27/13,84.43,84.93,84.330002,84.669998,71.543808,3053600
11/29/13,84.639999,85.18,84.529999,84.599998,71.48468,2284400
12/02/13,84.699997,85.089996,84.029999,84.25,71.188934,4834700
12/03/13,83.800003,83.949997,83.269997,83.870003,70.867844,3924300
12/04/13,83.75,84.379997,83.110001,83.970001,70.952332,5246700
12/05/13,83.919998,84.580002,83.699997,84.410004,71.324142,5291900
12/06/13,85.059998,85.580002,84.93,85.5,72.245148,5759300
12/09/13,85.699997,86.529999,85.559998,86.089996,72.743675,6023400
12/10/13,85.970001,86.870003,85.919998,86.419998,73.022522,4987000
12/11/13,86.029999,86.220001,85.120003,85.279999,72.059258,5624100
12/12/13,85.370003,85.699997,84.839996,85.57,72.304283,4551700
12/13/13,85.669998,86.230003,85.57,86.050003,72.709877,4226200
12/16/13,86.5,87.849998,86.440002,87.379997,73.833694,6976200
12/17/13,87.220001,87.650002,86.379997,86.919998,73.445015,4764400
12/18/13,87.010002,88.459999,86.650002,88.169998,74.501244,6963200
12/19/13,87.5,87.839996,87.260002,87.540001,73.968903,4299700
12/20/13,87.849998,89.110001,87.809998,88.93,75.143394,7389700
12/23/13,89.309998,90.07,89.269997,89.959999,76.013733,5733300
12/24/13,90,90.980003,89.989998,90.910004,76.81646,2675700
12/26/13,90.989998,91.669998,90.699997,91.150002,77.019241,4790800
12/27/13,91.139999,91.43,90.559998,90.870003,76.782654,3373800
12/30/13,90.849998,91.029999,90.279999,90.870003,76.782654,2625000
12/31/13,91,91.18,90.459999,90.809998,76.731949,3098900
