Date,Open,High,Low,Close,Adj Close,Volume
10/01/13,23.33,23.48,23.200001,23.24,19.923086,30137600
10/02/13,23.1,23.360001,23,23.32,19.991669,40084700
10/03/13,23.24,23.35,22.940001,23.01,19.72591,38161100
10/04/13,22.959999,23.09,22.85,23.02,19.734489,33607800
10/07/13,22.76,23.040001,22.629999,22.889999,19.623041,29575900
10/08/13,22.969999,22.969999,22.620001,22.639999,19.408724,31865700
10/09/13,22.66,22.76,22.290001,22.5,19.288702,45438300
10/10/13,22.700001,23.08,22.6,23.01,19.72591,38817500
10/11/13,23.02,23.379999,22.969999,23.280001,19.957382,27773800
10/14/13,23.16,23.360001,23.07,23.34,20.008816,29103100
10/15/13,23.360001,23.42,23.17,23.18,19.871647,26201200
10/16/13,23.219999,23.299999,22.809999,23,19.717339,40483000
10/17/13,22.799999,22.879999,22.42,22.780001,19.52874,69366300
10/18/13,22.860001,23.139999,22.76,22.959999,19.683054,44486600
10/21/13,23.110001,23.110001,22.809999,22.93,19.657335,34594600
10/22/13,22.99,23,22.42,22.65,19.417294,64553000
10/23/13,22.610001,22.639999,22.200001,22.26,19.082954,49021400
10/24/13,22.34,22.43,22.1,22.370001,19.177256,50130300
10/25/13,22.59,22.629999,22.35,22.459999,19.254412,34253400
10/28/13,22.4,22.549999,22.309999,22.549999,19.331566,24072100
10/29/13,22.66,22.93,22.559999,22.83,19.571606,30074200
10/30/13,22.870001,22.940001,22.66,22.709999,19.468729,30465600
10/31/13,22.639999,22.709999,22.440001,22.559999,19.340139,34497400
11/01/13,22.66,22.68,22.4,22.57,19.348713,33328700
11/04/13,22.549999,22.639999,22.42,22.58,19.357283,28617000
11/05/13,22.610001,23.25,22.42,23.07,19.777351,46343600
11/06/13,23.209999,23.370001,23.02,23.280001,19.957382,48257800
11/07/13,23.41,23.559999,23.07,23.110001,19.811644,35502900
11/08/13,23.280001,23.52,23.09,23.51,20.154556,30884100
11/11/13,23.5,23.58,23.4,23.450001,20.103113,22694900
11/12/13,23.43,23.84,23.43,23.73,20.343155,38031100
11/13/13,23.6,24,23.51,24,20.574617,75234900
11/14/13,20.940001,21.440001,20.77,21.370001,18.319983,243255400
11/15/13,21.459999,21.690001,21.26,21.540001,18.465721,85506000
11/18/13,21.6,21.719999,21.200001,21.290001,18.2514,66008900
11/19/13,21.309999,21.540001,21.120001,21.42,18.362848,57309700
11/20/13,21.469999,21.469999,21.219999,21.23,18.199961,44299700
11/21/13,21.360001,21.49,21.25,21.469999,18.40571,40695500
11/22/13,21.41,21.5,21.309999,21.459999,18.397135,41105000
11/25/13,21.450001,21.52,21.27,21.27,18.234253,37566000
11/26/13,21.299999,21.41,21.08,21.209999,18.182816,48629300
11/27/13,21.290001,21.35,21.15,21.27,18.234253,40021100
11/29/13,21.389999,21.440001,21.200001,21.25,18.217108,25043700
12/02/13,21.290001,21.299999,21.059999,21.09,18.079945,35385200
12/03/13,21.049999,21.26,21.02,21.26,18.225681,52496700
12/04/13,21.09,21.35,21.07,21.25,18.217108,44535000
12/05/13,21.200001,21.299999,20.889999,20.91,17.925634,61782100
12/06/13,21.120001,21.32,21.07,21.280001,18.242828,51266300
12/09/13,21.299999,21.33,21.200001,21.219999,18.191393,41430000
12/10/13,21.26,21.34,21.15,21.209999,18.182816,45957600
12/11/13,20.99,21.01,20.65,20.879999,17.89992,66075000
12/12/13,20.82,20.83,20.26,20.51,17.582724,69575100
12/13/13,20.58,20.58,20.219999,20.24,17.351261,51883000
12/16/13,20.35,20.75,20.25,20.68,17.72846,54485600
12/17/13,20.74,21.129999,20.68,20.92,17.934208,45343300
12/18/13,20.879999,21.040001,20.52,21,18.002789,55495300
12/19/13,21.07,21.08,20.77,21.07,18.062796,36678100
12/20/13,21.059999,21.25,20.959999,21.129999,18.114231,64140500
12/23/13,21.25,21.629999,21.219999,21.57,18.491436,41245900
12/24/13,21.459999,21.76,21.440001,21.690001,18.594313,18372000
12/26/13,21.719999,21.879999,21.719999,21.799999,18.688608,17064400
12/27/13,21.790001,22.049999,21.780001,22.02,18.877213,24098500
12/30/13,22,22.33,22,22.25,19.074383,27711600
12/31/13,22.25,22.469999,22.15,22.43,19.228697,33240500
1/02/14,22.17,22.290001,21.91,22,19.004103,44377000
1/03/14,22.09,22.120001,21.83,21.98,18.98682,36328200
1/06/14,21.959999,22.23,21.93,22.01,19.012741,34150300
1/07/14,22.26,22.41,22.15,22.309999,19.271883,37368800
1/08/14,22.290001,22.360001,22.15,22.290001,19.254608,38362700
1/09/14,22.290001,22.309999,21.92,22.09,19.081844,31794000
1/10/14,22.23,22.280001,21.99,22.219999,19.194138,30318600
1/13/14,22.389999,22.82,22.139999,22.190001,19.168226,59600000
1/14/14,22.33,22.52,22.200001,22.41,19.358269,44300800
1/15/14,22.5,23,22.42,22.780001,19.677879,61767800
1/16/14,22.85,22.91,22.629999,22.780001,19.677879,38918100
1/17/14,22.58,22.780001,22.58,22.74,19.643326,44349100
1/21/14,22.91,22.950001,22.639999,22.83,19.721073,33423000
