Date,Open,High,Low,Close,Adj Close,Volume
10/01/13,121.269997,121.739998,120.839996,121.32,99.486832,4702300
10/02/13,121.040001,121.18,119.760002,120.830002,99.085014,5899800
10/03/13,120.620003,120.660004,117.93,118.25,96.969337,10203700
10/04/13,118.5,118.540001,117.519997,118.129997,96.870911,6538500
10/07/13,117.43,118.5,117.209999,117.870003,96.657715,5677400
10/08/13,117.889999,118.089996,116.709999,116.730003,95.722878,6744200
10/09/13,116.550003,116.800003,115.32,116.129997,95.230843,8861700
10/10/13,115.239998,116.379997,114.440002,116.379997,95.435844,11133000
10/11/13,116.57,117.709999,115.93,117.669998,96.493706,6535800
10/14/13,117.330002,118.75,116.32,118.580002,97.239952,4789800
10/15/13,118.559998,119.07,117.769997,118.150002,96.887321,6414700
10/16/13,119.419998,119.720001,118.339996,119.160004,97.715561,5614200
10/17/13,119.099998,119.610001,118.669998,119.519997,98.010773,5254800
10/18/13,119.610001,119.849998,119.129997,119.650002,98.117363,6231100
10/21/13,119.629997,120.190002,119.309998,119.82,98.256775,4360700
10/22/13,120.139999,120.790001,119.709999,120.639999,98.929214,6444900
10/23/13,120.290001,120.639999,119.839996,120.129997,98.510994,4961900
10/24/13,120.669998,121,119.910004,120.559998,98.863609,4188100
10/25/13,120.589996,121.220001,120.269997,120.589996,98.888184,4273300
10/28/13,120.559998,121.150002,120.089996,120.910004,99.150635,5497700
10/29/13,121.330002,122.010002,121.160004,121.5,99.634445,4241700
10/30/13,121.540001,121.959999,119.910004,120.300003,98.650398,4999100
10/31/13,120.150002,121.330002,119.830002,119.959999,98.371574,7752500
11/01/13,119.040001,119.440002,117,118.010002,96.772514,9344200
11/04/13,118.589996,118.599998,117.32,118.099998,96.846306,6670300
11/05/13,117.599998,118.900002,117.07,118.449997,97.133331,6623300
11/06/13,119.300003,121.410004,118.82,121.139999,99.339241,8373200
11/07/13,121.599998,121.879997,119.419998,119.910004,98.330574,10131200
11/08/13,119.669998,121.209999,119.580002,121.190002,99.380219,11331000
11/11/13,121.18,121.5,120.709999,121.080002,99.290024,3427600
11/12/13,121.029999,121.25,119.629997,120,98.404388,6914200
11/13/13,119.580002,120.150002,119.190002,120.089996,98.478188,6212000
11/14/13,119.580002,119.93,119.32,119.559998,98.866837,5470900
11/15/13,119.779999,120.269997,119.129997,120.059998,99.280312,6008000
11/18/13,120.709999,120.889999,120.07,120.559998,99.693748,4788700
11/19/13,120.550003,122.379997,120.269997,122.059998,100.934158,5891800
11/20/13,122.160004,122.75,121.599998,122,100.884537,4571300
11/21/13,122.360001,123.599998,122.360001,123.459999,102.091843,4884300
11/22/13,123.540001,124.190002,122.419998,124.029999,102.563187,3887400
11/25/13,123.769997,124.099998,123.220001,123.739998,102.32338,3925300
11/26/13,123.410004,123.699997,122.650002,122.779999,101.529533,4597500
11/27/13,122.620003,122.739998,121.639999,122.419998,101.231827,3906700
11/29/13,122.830002,123.300003,122,122.440002,101.248375,3721000
12/02/13,122.870003,123.059998,122.050003,122.339996,101.165672,5384000
12/03/13,122.309998,122.900002,121.870003,122.519997,101.314529,5410200
12/04/13,122.099998,122.830002,121.190002,121.769997,100.694336,4391800
12/05/13,121.269997,122,120.709999,121.099998,100.140297,4706800
12/06/13,122.050003,122.360001,121.650002,122.290001,101.124329,4179100
12/09/13,122.269997,123.879997,122.160004,123.339996,101.992599,7706500
12/10/13,123.790001,123.940002,122.699997,123.660004,102.257233,5602700
12/11/13,123.82,123.889999,121.800003,122.099998,100.967232,7309900
12/12/13,121.779999,122.099998,120.57,120.989998,100.049324,7221200
12/13/13,120.440002,121.139999,119.379997,119.900002,99.147995,5268100
12/16/13,120.459999,120.699997,119.809998,120.220001,99.412598,7304500
12/17/13,120.120003,120.230003,118.25,118.739998,98.188751,6824000
12/18/13,119.330002,121.769997,119.209999,121.599998,100.553757,8206400
12/19/13,121.57,123.400002,121.059998,123.220001,101.893387,6540600
12/20/13,122.82,123.790001,122.400002,122.779999,101.529533,9455200
12/23/13,123.410004,123.589996,122.629997,122.800003,101.546074,4062400
12/24/13,122.769997,123.550003,122.699997,123.510002,102.133186,1587800
12/26/13,123.599998,124.989998,123.550003,124.809998,103.208168,3415200
12/27/13,125,125.650002,124.690002,125.230003,103.555481,3455300
12/30/13,124.790001,125.209999,123.900002,124.230003,102.728569,4688500
12/31/13,124.68,125.169998,123.93,124.910004,103.290871,3475600
1/02/14,124.459999,124.879997,123.709999,124.139999,102.65416,4540300
1/03/14,124.599998,124.889999,123.860001,124.349998,102.827805,3506000
1/06/14,124.589996,124.800003,123.519997,124.019997,102.554909,4252300
1/07/14,124.419998,125.32,123.650002,125.07,103.423187,4563300
1/08/14,124.440002,124.459999,122.75,123.290001,101.951271,8282500
1/09/14,123.419998,123.419998,122.019997,123.290001,101.951271,5643500
1/10/14,122.5,122.839996,120.370003,121.010002,100.06588,8127500
1/13/14,120.809998,120.900002,119.010002,119.25,98.610497,6504200
1/14/14,119.400002,119.75,118.800003,119.57,98.875107,6904600
1/15/14,119.690002,120.07,119.050003,119.18,98.55262,5829300
1/16/14,119.110001,119.290001,118.190002,118.830002,98.263191,5041100
1/17/14,119.029999,120.379997,118.739998,119.290001,98.643578,7199700
1/21/14,120.739998,120.889999,119.510002,120.360001,99.528389,5602300
1/22/14,120.510002,120.760002,119.970001,120.43,99.586258,4977500
1/23/14,119.839996,119.849998,118.260002,118.389999,97.899345,6205800
1/24/14,117.870003,118.139999,116.260002,116.290001,96.162811,7094900
1/27/14,116.260002,117.25,115.879997,116.43,96.278572,6179500
1/28/14,116.720001,117.029999,116.07,116.839996,96.617584,4303700
1/29/14,116.139999,116.889999,115.709999,116,95.922997,5522100
1/30/14,116.309998,116.959999,115.18,116.449997,96.295097,5538700
1/31/14,113.900002,113.900002,111.110001,111.629997,92.309334,15523500
2/03/14,112.349998,112.459999,110.540001,111.139999,91.904152,11275300
2/04/14,111.860001,112.040001,110.489998,110.830002,91.647797,9717200
2/05/14,111,111,109.269997,109.519997,90.564537,10562900
2/06/14,110.110001,111.349998,109.910004,111.269997,92.01165,7983300
2/07/14,111.910004,112.120003,110.389999,112.050003,92.656647,7071800
2/10/14,112.470001,112.470001,111.080002,111.690002,92.358963,9251300
2/11/14,112.029999,113.870003,111.949997,113.580002,93.921844,6874700
2/12/14,112.889999,112.889999,111.809998,112.029999,93.463005,6422100
2/13/14,111.730003,112.739998,111.18,112.510002,93.863457,5061600
2/14/14,112.580002,113.830002,111.589996,113.480003,94.672691,6776400
2/18/14,113.860001,114.110001,112.599998,112.709999,94.030304,6106600
2/19/14,112.550003,115.050003,112.470001,113.599998,94.772789,7989900
2/20/14,113.510002,115.330002,113.099998,114.599998,95.607063,8406900
2/21/14,114.720001,114.739998,112.599998,112.68,94.005249,9221100
2/24/14,113.370003,115,113.050003,114.150002,95.231636,7337900
2/25/14,114.370003,115.440002,114.239998,114.970001,95.915749,5976100
2/26/14,114.82,115.860001,114.400002,115.510002,96.366264,6113800
2/27/14,115.660004,115.82,114.559998,115.690002,96.516411,4922600
2/28/14,115.870003,116.739998,114.809998,115.330002,96.216087,6944600
3/03/14,114.790001,116.190002,114.260002,114.839996,95.807304,6046200
3/04/14,115.889999,116.269997,115.260002,115.32,96.207733,5611500
3/05/14,115.080002,115.260002,114.010002,114.43,95.46524,6703700
3/06/14,114.709999,115.150002,114.349998,114.849998,95.815628,5179600
3/07/14,115.07,115.949997,114.639999,115.080002,96.007515,5055600
3/10/14,115.449997,115.940002,114.120003,115.839996,96.641556,6203000
3/11/14,115.900002,116.230003,114.239998,114.510002,95.53199,6274300
3/12/14,114.139999,116.360001,114.129997,115.650002,96.483047,6812900
3/13/14,115.599998,115.75,114.120003,114.449997,95.481926,5405100
3/14/14,114.360001,114.900002,113.68,114.099998,95.189919,6280000
3/17/14,114.260002,115.290001,114.129997,115.07,95.999184,5894500
3/18/14,115.620003,116.559998,115.199997,116.239998,96.975266,6329600
3/19/14,115.879997,116.739998,114.660004,115.199997,96.107613,5569600
3/20/14,114.849998,116.080002,114.32,115.510002,96.366264,5280600
3/21/14,116.290001,118,115.580002,115.629997,96.466362,14893600
3/24/14,116,116.690002,115.650002,115.849998,96.649918,5386900
3/25/14,116.230003,117.190002,116.209999,117.089996,97.684395,5573000
3/26/14,117.800003,118.279999,117.360001,117.709999,98.201645,5971600
3/27/14,117.75,117.989998,116.830002,117.669998,98.168266,5224600
3/28/14,118.129997,118.550003,117.699997,118.5,98.86071,5875100
3/31/14,118.790001,119.620003,118.489998,118.910004,99.202774,5482700
4/01/14,119.150002,119.610001,118.839996,119,99.277855,5391400
4/02/14,118.519997,119.540001,118.519997,119.349998,99.569824,4505600
4/03/14,119.779999,119.790001,118.889999,119.040001,99.311226,4446400
4/04/14,119.75,119.75,118.589996,118.800003,99.111,5301300
4/07/14,118.32,118.82,117.339996,117.339996,97.892944,5241300
4/08/14,117.660004,118.309998,117.18,117.800003,98.276718,4706100
4/09/14,117.830002,119.25,117.589996,119.099998,99.361259,5376500
