Date,Open,High,Low,Close,Adj Close,Volume
10/01/13,22.940001,23.040001,22.700001,22.83,19.667915,25888800
10/02/13,22.709999,22.9,22.67,22.889999,19.719606,23205400
10/03/13,22.82,22.84,22.5,22.6,19.469769,34888500
10/04/13,22.6,22.85,22.6,22.809999,19.650684,22550000
10/07/13,22.709999,23,22.57,22.83,19.667915,21321300
10/08/13,22.870001,22.879999,22.48,22.48,19.36639,36111200
10/09/13,22.51,22.959999,22.48,22.59,19.461159,40435400
10/10/13,22.99,23.219999,22.92,23.1,19.900515,39189400
10/11/13,22.83,23.26,22.82,23.26,20.038359,24550600
10/14/13,23.09,23.49,23.030001,23.450001,20.202042,27176700
10/15/13,23.4,23.59,23.32,23.389999,20.150354,42957700
10/16/13,23.26,23.74,23.219999,23.700001,20.417414,47723400
10/17/13,23.58,23.940001,23.49,23.92,20.606945,28694900
10/18/13,23.860001,23.98,23.68,23.879999,20.572481,29579100
10/21/13,23.940001,24.17,23.82,24.139999,20.796469,35297600
10/22/13,24.17,24.200001,24.01,24.07,20.736168,29010800
10/23/13,23.93,24.049999,23.559999,23.74,20.451874,31651100
10/24/13,23.860001,23.969999,23.780001,23.780001,20.486334,47590200
10/25/13,24.110001,24.24,24.02,24.24,20.882622,59634700
10/28/13,24.18,24.49,24.17,24.360001,20.986,65581600
10/29/13,24.4,24.67,24.35,24.52,21.12384,29961700
10/30/13,24.530001,24.68,24.4,24.5,21.106611,24091800
10/31/13,24.52,24.73,24.43,24.469999,21.080765,30901400
11/01/13,24.51,24.65,24.219999,24.33,20.960154,28302100
11/04/13,24.32,24.4,24.15,24.26,20.899853,26639800
11/05/13,23.92,24.110001,23.77,24.030001,20.895502,22849900
11/06/13,24.059999,24.309999,23.889999,24.25,21.086807,25525700
11/07/13,24.370001,24.379999,24,24.059999,20.921591,25631100
11/08/13,24.030001,24.120001,23.84,24.09,20.94768,31502900
11/11/13,24.040001,24.290001,23.93,24.17,21.017241,19236500
11/12/13,23.99,24.5,23.98,24.43,21.24333,37813500
11/13/13,24.25,24.620001,24.200001,24.6,21.391148,22990300
11/14/13,24.43,24.5,24.35,24.389999,21.208546,20198900
11/15/13,24.4,24.549999,24.25,24.52,21.321589,22866500
11/18/13,24.610001,24.700001,24.48,24.6,21.391148,24712500
11/19/13,24.74,24.870001,24.610001,24.700001,21.478113,24870200
11/20/13,24.700001,24.82,24.459999,24.559999,21.356367,20288600
11/21/13,24.610001,25.290001,24.52,25.23,21.938971,44050600
11/22/13,24.5,24.51,23.84,23.870001,20.756371,77908100
11/25/13,24.02,24.02,23.5,23.75,20.652027,43389300
11/26/13,23.790001,23.84,23.52,23.65,20.565069,30600800
11/27/13,23.639999,23.92,23.52,23.9,20.782461,28419200
11/29/13,23.9,23.99,23.76,23.84,20.730288,13802900
12/02/13,24,24,23.65,23.700001,20.608545,25685300
12/03/13,23.690001,23.73,23.4,23.549999,20.478109,35066400
12/04/13,23.52,23.85,23.52,23.74,20.643332,43501500
12/05/13,23.82,24.35,23.75,24.26,21.095503,45399100
12/06/13,24.969999,25.25,24.75,24.82,21.582457,53871400
